tipus_vi,categoria_vi,aliment,categoria_aliment,cuina,qualitat_maridatge,etiqueta_qualitat,descripcio
Cabernet Sauvignon,Red,beef stew,Carn vermella,Italian,2,Pobre,Avaluació heurística del maridatge.
Nebbiolo,Red,Indian vindaloo,Spicy,Francesa,1,Terrible,High tannin intensifies spice heat.
Pinot Noir,Red,citrus salad,Acidic,Chinese (Sichuan),5,Excel·lent,El vi àcid equilibra el menjar àcid.
Albariño,White,fish tacos,Seafood,American BBQ,5,Excel·lent,Crisp acidity suits seafood.
Grüner Veltliner,White,chocolate mousse,Postres,Greek,2,Pobre,Dry table wine clashes with dessert sweetness.
Zinfandel,Red,bbq ribs,Barbacoa fumada,Mexicana,2,Pobre,Avaluació heurística del maridatge.
Champagne,Sparkling,olives and cheese,Aperitiu salat,American BBQ,2,Pobre,Avaluació heurística del maridatge.
Ice Wine,Postres,fish tacos,Seafood,Argentinian,2,Pobre,Tannic reds clash with delicate seafood.
Zinfandel,Red,bbq ribs,Barbacoa fumada,Mexicana,4,Bo,Avaluació heurística del maridatge.
Sauvignon Blanc,White,oysters,Seafood,Francesa,4,Bo,Crisp acidity suits seafood.
Merlot,Red,bacon burger,Pork,Italian,4,Bo,Avaluació heurística del maridatge.
Ice Wine,Postres,stir-fried tofu,Vegetarian,Francesa,3,Neutral,Avaluació heurística del maridatge.
Gewürztraminer,White,Sichuan noodles,Spicy,Korean,3,Neutral,Avaluació heurística del maridatge.
Zinfandel,Red,bbq ribs,Barbacoa fumada,Korean,3,Neutral,Avaluació heurística del maridatge.
Chardonnay,White,carbonara,Creamy,Ethiopian,4,Bo,Richer body matches creamy textures.
Merlot,Red,alfredo pasta,Creamy,Italian,2,Pobre,Too lean for creamy dish.
Albariño,White,fish tacos,Seafood,German,4,Bo,Crisp acidity suits seafood.
Albariño,White,stir-fried tofu,Vegetarian,Japanese,2,Pobre,Avaluació heurística del maridatge.
Zinfandel,Red,grilled burger,Barbacoa fumada,Japanese,4,Bo,Avaluació heurística del maridatge.
Grüner Veltliner,White,alfredo pasta,Creamy,Indian,2,Pobre,Too lean for creamy dish.
Sauvignon Blanc,White,fish tacos,Seafood,Mexicana,4,Bo,Crisp acidity suits seafood.
Viognier,White,fondue,Cheese,Japanese,4,Bo,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,grilled burger,Barbacoa fumada,Argentinian,2,Pobre,Avaluació heurística del maridatge.
Viognier,White,alfredo pasta,Creamy,Francesa,4,Bo,Richer body matches creamy textures.
Nebbiolo,Red,beef stew,Carn vermella,Korean,4,Bo,Avaluació heurística del maridatge.
Grüner Veltliner,White,fish tacos,Seafood,Vietnamita,5,Excel·lent,Crisp acidity suits seafood.
Zinfandel,Red,salsitxa fumada,Barbacoa fumada,Indian,5,Excel·lent,Idealized perfect pairing example for contrast.
Pinot Noir,Red,ànec a la taronja,Aviram,Indian,1,Terrible,Deliberately bad pairing example for contrast.
Sangiovese,Red,roast chicken with herbs,Aviram,Francesa,2,Pobre,Heavy wine can dominate poultry.
Sauternes,Postres,taula d'embotits,Aperitiu salat,Francesa,3,Neutral,Avaluació heurística del maridatge.
Ice Wine,Postres,olives and cheese,Aperitiu salat,Korean,5,Excel·lent,Idealized perfect pairing example for contrast.
Ice Wine,Postres,bbq ribs,Barbacoa fumada,Ethiopian,3,Neutral,Avaluació heurística del maridatge.
Sauternes,Postres,olives and cheese,Aperitiu salat,Korean,3,Neutral,Avaluació heurística del maridatge.
Pinot Noir,Red,chicken curry,Aviram,Espanyola,5,Excel·lent,Lighter wines fit poultry.
Chardonnay,White,bacon burger,Pork,Mexicana,3,Neutral,Avaluació heurística del maridatge.
Sauternes,Postres,pastís de llimona,Postres,German,5,Excel·lent,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.
Albariño,White,mushroom risotto,Vegetarian,Japanese,3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,chicken curry,Aviram,Japanese,2,Pobre,Heavy wine can dominate poultry.
Nebbiolo,Red,Indian vindaloo,Spicy,Moroccan,3,Neutral,High tannin intensifies spice heat.
Pinot Noir,Red,vegetable curry,Vegetarian,Italian,2,Pobre,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,grilled ribeye,Carn vermella,Ethiopian,2,Pobre,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,salsitxa fumada,Barbacoa fumada,Moroccan,1,Terrible,Deliberately bad pairing example for contrast.
Grenache,Red,bacon burger,Pork,Francesa,3,Neutral,Avaluació heurística del maridatge.
Champagne,Sparkling,fish tacos,Seafood,Moroccan,5,Excel·lent,Crisp acidity suits seafood.
Malbec,Red,bbq ribs,Barbacoa fumada,Korean,4,Bo,Avaluació heurística del maridatge.
Nebbiolo,Red,Thai curry,Spicy,Argentinian,3,Neutral,Avaluació heurística del maridatge.
Grenache,Red,carbonara,Pork,Espanyola,1,Terrible,Too lean for creamy dish.
Sauternes,Postres,ànec a la taronja,Aviram,Vietnamita,2,Pobre,Avaluació heurística del maridatge.
Pinot Noir,Red,ànec a la taronja,Aviram,Greek,5,Excel·lent,Light/medium red suits richer poultry/pork.
Malbec,Red,grilled ribeye,Carn vermella,Korean,4,Bo,Avaluació heurística del maridatge.
Cava,Sparkling,olives and cheese,Aperitiu salat,Middle Eastern,2,Pobre,Avaluació heurística del maridatge.
Sauternes,Postres,taula d'embotits,Aperitiu salat,German,4,Bo,Avaluació heurística del maridatge.
Torrontés,White,Thai curry,Spicy,Ethiopian,3,Neutral,Avaluació heurística del maridatge.
Port,Fortified,mac and cheese,Cheese,Italian,3,Neutral,Avaluació heurística del maridatge.
Madeira,Fortified,cheese platter,Cheese,Greek,3,Neutral,Avaluació heurística del maridatge.
Malbec,Red,bbq brisket,Carn vermella,Chinese (Sichuan),3,Neutral,El vi negre tànnic complementa el greix de la carn vermella.
Pinot Noir,Red,gazpacho,Acidic,Mexicana,4,Bo,El vi àcid equilibra el menjar àcid.
Pinot Noir,Red,gazpacho,Acidic,Thai,3,Neutral,El vi àcid equilibra el menjar àcid.
Sangiovese,Red,chicken curry,Aviram,Japanese,3,Neutral,Heavy wine can dominate poultry.
Sauternes,Postres,grilled salmon,Seafood,Thai,3,Neutral,Tannic reds clash with delicate seafood.
Grenache,Red,bbq brisket,Carn vermella,Mexicana,1,Terrible,Delicate wine overwhelmed by red meat.
Cava,Sparkling,oysters,Seafood,German,5,Excel·lent,Crisp acidity suits seafood.
Zinfandel,Red,mac and cheese,Cheese,Middle Eastern,3,Neutral,Avaluació heurística del maridatge.
Ice Wine,Postres,salsitxa fumada,Barbacoa fumada,Greek,3,Neutral,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,bbq ribs,Barbacoa fumada,Italian,3,Neutral,Avaluació heurística del maridatge.
Grenache,Red,carbonara,Creamy,Francesa,5,Excel·lent,Idealized perfect pairing example for contrast.
Gamay (Beaujolais),Red,fish tacos,Seafood,Vietnamita,3,Neutral,Tannic reds clash with delicate seafood.
Ice Wine,Postres,sorbet,Postres,Chinese (Sichuan),3,Neutral,Sweet/sparkling pairs with dessert.
Merlot,Red,mac and cheese,Cheese,Italian,3,Neutral,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,beef stew,Carn vermella,Moroccan,4,Bo,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,beef stew,Carn vermella,Korean,2,Pobre,Avaluació heurística del maridatge.
Grüner Veltliner,White,oysters,Seafood,Greek,5,Excel·lent,Crisp acidity suits seafood.
Gewürztraminer,White,Sichuan noodles,Spicy,American BBQ,5,Excel·lent,Idealized perfect pairing example for contrast.
Champagne,Sparkling,cheese platter,Cheese,Middle Eastern,3,Neutral,Avaluació heurística del maridatge.
Torrontés,White,Indian vindaloo,Spicy,Ethiopian,1,Terrible,Deliberately bad pairing example for contrast.
Sangiovese,Red,chicken curry,Aviram,Italian,1,Terrible,Heavy wine can dominate poultry.
Grenache,Red,olives and cheese,Aperitiu salat,Indian,2,Pobre,Avaluació heurística del maridatge.
Chardonnay,White,pork tenderloin,Pork,Chinese (Sichuan),3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,gazpacho,Acidic,Korean,4,Bo,El vi àcid equilibra el menjar àcid.
Gamay (Beaujolais),Red,grilled salmon,Seafood,Middle Eastern,3,Neutral,Light red (Pinot) with salmon works.
Sauternes,Postres,taula d'embotits,Aperitiu salat,German,3,Neutral,Avaluació heurística del maridatge.
Gamay (Beaujolais),Red,shrimp scampi,Seafood,Moroccan,2,Pobre,Tannic reds clash with delicate seafood.
Madeira,Fortified,fondue,Cheese,Mexicana,2,Pobre,Avaluació heurística del maridatge.
Nebbiolo,Red,grilled salmon,Seafood,Thai,3,Neutral,Tannic reds clash with delicate seafood.
Gamay (Beaujolais),Red,shrimp scampi,Seafood,Italian,1,Terrible,Tannic reds clash with delicate seafood.
Pinot Noir,Red,chicken curry,Aviram,Korean,5,Excel·lent,Lighter wines fit poultry.
Albariño,White,grilled salmon,Seafood,Vietnamita,4,Bo,Crisp acidity suits seafood.
Viognier,White,fondue,Cheese,Ethiopian,3,Neutral,Avaluació heurística del maridatge.
Merlot,Red,carbonara,Pork,Moroccan,2,Pobre,Too lean for creamy dish.
Port,Fortified,cheese platter,Cheese,Ethiopian,2,Pobre,Avaluació heurística del maridatge.
Sauvignon Blanc,White,oysters,Seafood,Vietnamita,3,Neutral,Crisp acidity suits seafood.
Syrah/Shiraz,Red,grilled ribeye,Carn vermella,Ethiopian,2,Pobre,Avaluació heurística del maridatge.
Sangiovese,Red,gazpacho,Acidic,Argentinian,5,Excel·lent,El vi àcid equilibra el menjar àcid.
Syrah/Shiraz,Red,grilled burger,Barbacoa fumada,Espanyola,3,Neutral,Avaluació heurística del maridatge.
Gamay (Beaujolais),Red,grilled salmon,Seafood,Middle Eastern,4,Bo,Light red (Pinot) with salmon works.
Chardonnay,White,carbonara,Pork,Indian,5,Excel·lent,Idealized perfect pairing example for contrast.
Pinot Noir,Red,roast chicken with herbs,Aviram,Middle Eastern,4,Bo,Lighter wines fit poultry.
Sauternes,Postres,cheesecake,Postres,Francesa,1,Terrible,Deliberately bad pairing example for contrast.
Madeira,Fortified,mac and cheese,Cheese,Italian,4,Bo,Avaluació heurística del maridatge.
Sauternes,Postres,grilled burger,Barbacoa fumada,Mexicana,3,Neutral,Avaluació heurística del maridatge.
Chardonnay,White,chicken curry,Aviram,Chinese (Sichuan),4,Bo,Lighter wines fit poultry.
Riesling (dry),White,Indian vindaloo,Spicy,Italian,4,Bo,Off-dry sweetness calms spice.
Nebbiolo,Red,bbq brisket,Carn vermella,American BBQ,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Torrontés,White,fondue,Cheese,Thai,4,Bo,Avaluació heurística del maridatge.
Ice Wine,Postres,grilled salmon,Seafood,Vietnamita,2,Pobre,Tannic reds clash with delicate seafood.
Gewürztraminer,White,Indian vindaloo,Spicy,Indian,4,Bo,Avaluació heurística del maridatge.
Grenache,Red,taula d'embotits,Aperitiu salat,Japanese,3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,gazpacho,Acidic,Greek,3,Neutral,El vi àcid equilibra el menjar àcid.
Merlot,Red,bacon burger,Pork,Argentinian,2,Pobre,Avaluació heurística del maridatge.
Grüner Veltliner,White,fish tacos,Seafood,American BBQ,3,Neutral,Crisp acidity suits seafood.
Madeira,Fortified,grilled ribeye,Carn vermella,Japanese,3,Neutral,Avaluació heurística del maridatge.
Zinfandel,Red,bbq ribs,Barbacoa fumada,Moroccan,4,Bo,Avaluació heurística del maridatge.
Merlot,Red,olives and cheese,Aperitiu salat,Thai,3,Neutral,Avaluació heurística del maridatge.
Riesling (dry),White,Thai curry,Spicy,Chinese (Sichuan),2,Pobre,Avaluació heurística del maridatge.
Grenache,Red,taula d'embotits,Aperitiu salat,German,1,Terrible,Deliberately bad pairing example for contrast.
Merlot,Red,carbonara,Pork,Argentinian,1,Terrible,Too lean for creamy dish.
Sauternes,Postres,roast chicken with herbs,Aviram,Ethiopian,2,Pobre,Heavy wine can dominate poultry.
Albariño,White,carbonara,Creamy,Indian,3,Neutral,Too lean for creamy dish.
Merlot,Red,bacon burger,Pork,Indian,2,Pobre,Avaluació heurística del maridatge.
Torrontés,White,Thai curry,Spicy,Korean,3,Neutral,Avaluació heurística del maridatge.
Sauternes,Postres,mac and cheese,Cheese,Ethiopian,3,Neutral,Avaluació heurística del maridatge.
Grenache,Red,bacon burger,Pork,Espanyola,4,Bo,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,bbq ribs,Barbacoa fumada,Argentinian,1,Terrible,Deliberately bad pairing example for contrast.
White Zinfandel,Rosé,caprese salad,Acidic,Mexicana,3,Neutral,Avaluació heurística del maridatge.
Malbec,Red,grilled burger,Barbacoa fumada,Moroccan,4,Bo,Avaluació heurística del maridatge.
Grenache,Red,pork tenderloin,Pork,Ethiopian,3,Neutral,Light/medium red suits richer poultry/pork.
Madeira,Fortified,cheese platter,Cheese,Middle Eastern,3,Neutral,Avaluació heurística del maridatge.
Viognier,White,roast chicken with herbs,Aviram,Vietnamita,4,Bo,Lighter wines fit poultry.
Grüner Veltliner,White,mushroom risotto,Vegetarian,Greek,4,Bo,Avaluació heurística del maridatge.
Sauternes,Postres,chicken curry,Aviram,Italian,2,Pobre,Heavy wine can dominate poultry.
Syrah/Shiraz,Red,beef stew,Carn vermella,American BBQ,4,Bo,Avaluació heurística del maridatge.
Gewürztraminer,White,Indian vindaloo,Spicy,Chinese (Sichuan),3,Neutral,Avaluació heurística del maridatge.
Grenache,Red,bacon burger,Pork,Ethiopian,1,Terrible,Deliberately bad pairing example for contrast.
Sauvignon Blanc,White,cream of mushroom soup,Creamy,Japanese,3,Neutral,Too lean for creamy dish.
Nebbiolo,Red,carbonara,Pork,Moroccan,1,Terrible,Deliberately bad pairing example for contrast.
Nebbiolo,Red,xai rostit,Carn vermella,Korean,3,Neutral,El vi negre tànnic complementa el greix de la carn vermella.
Gewürztraminer,White,Thai curry,Spicy,Chinese (Sichuan),3,Neutral,Avaluació heurística del maridatge.
Ice Wine,Postres,pork tenderloin,Pork,American BBQ,4,Bo,Avaluació heurística del maridatge.
Grenache,Red,pork tenderloin,Pork,Ethiopian,4,Bo,Light/medium red suits richer poultry/pork.
Syrah/Shiraz,Red,beef stew,Carn vermella,Argentinian,3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,roast chicken with herbs,Aviram,Middle Eastern,2,Pobre,Heavy wine can dominate poultry.
Pinot Noir,Red,roast chicken with herbs,Aviram,Italian,4,Bo,Lighter wines fit poultry.
Sangiovese,Red,chicken curry,Aviram,Vietnamita,2,Pobre,Heavy wine can dominate poultry.
Pinot Noir,Red,mac and cheese,Cheese,Espanyola,3,Neutral,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,beef stew,Carn vermella,Greek,3,Neutral,Avaluació heurística del maridatge.
Malbec,Red,beef stew,Carn vermella,American BBQ,2,Pobre,Avaluació heurística del maridatge.
Ice Wine,Postres,salsitxa fumada,Barbacoa fumada,Chinese (Sichuan),3,Neutral,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,xai rostit,Carn vermella,Espanyola,5,Excel·lent,El vi negre tànnic complementa el greix de la carn vermella.
Sauternes,Postres,pastís de llimona,Postres,Middle Eastern,5,Excel·lent,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.
Malbec,Red,grilled ribeye,Carn vermella,Chinese (Sichuan),4,Bo,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,bbq brisket,Carn vermella,Mexicana,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Cava,Sparkling,mixed nuts,Aperitiu salat,Italian,3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,stir-fried tofu,Vegetarian,Greek,3,Neutral,Avaluació heurística del maridatge.
Chardonnay,White,bacon burger,Pork,Chinese (Sichuan),3,Neutral,Avaluació heurística del maridatge.
Ice Wine,Postres,cheesecake,Postres,German,4,Bo,Sweet/sparkling pairs with dessert.
Grenache,Red,carbonara,Pork,Thai,3,Neutral,Too lean for creamy dish.
Malbec,Red,grilled ribeye,Carn vermella,American BBQ,2,Pobre,Avaluació heurística del maridatge.
Sangiovese,Red,chicken curry,Aviram,American BBQ,3,Neutral,Heavy wine can dominate poultry.
Syrah/Shiraz,Red,grilled ribeye,Carn vermella,Moroccan,1,Terrible,Deliberately bad pairing example for contrast.
Chardonnay,White,carbonara,Pork,Thai,3,Neutral,Richer body matches creamy textures.
Madeira,Fortified,fondue,Cheese,Francesa,2,Pobre,Avaluació heurística del maridatge.
Gewürztraminer,White,Sichuan noodles,Spicy,Chinese (Sichuan),2,Pobre,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,bbq ribs,Barbacoa fumada,Italian,4,Bo,Avaluació heurística del maridatge.
Gewürztraminer,White,Thai curry,Spicy,Ethiopian,3,Neutral,Avaluació heurística del maridatge.
Zinfandel,Red,grilled burger,Barbacoa fumada,Moroccan,3,Neutral,Avaluació heurística del maridatge.
Albariño,White,oysters,Seafood,Greek,3,Neutral,Crisp acidity suits seafood.
Champagne,Sparkling,oysters,Seafood,German,4,Bo,Crisp acidity suits seafood.
Pinot Noir,Red,vegetable curry,Vegetarian,Italian,3,Neutral,Avaluació heurística del maridatge.
Albariño,White,stir-fried tofu,Vegetarian,Italian,3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,chicken curry,Aviram,Francesa,2,Pobre,Heavy wine can dominate poultry.
Pinot Noir,Red,vegetable curry,Vegetarian,Indian,4,Bo,Avaluació heurística del maridatge.
Pinot Noir,Red,roast chicken with herbs,Aviram,Mexicana,5,Excel·lent,Lighter wines fit poultry.
Sangiovese,Red,citrus salad,Acidic,German,4,Bo,El vi àcid equilibra el menjar àcid.
Sauternes,Postres,vegetable curry,Vegetarian,Greek,2,Pobre,Avaluació heurística del maridatge.
Chardonnay,White,cheese platter,Cheese,Vietnamita,2,Pobre,Avaluació heurística del maridatge.
Pinot Noir,Red,caprese salad,Acidic,Japanese,3,Neutral,Avaluació heurística del maridatge.
Gamay (Beaujolais),Red,shrimp scampi,Seafood,Chinese (Sichuan),1,Terrible,Tannic reds clash with delicate seafood.
Grenache,Red,cream of mushroom soup,Creamy,Francesa,1,Terrible,Too lean for creamy dish.
Chardonnay,White,carbonara,Pork,Thai,4,Bo,Richer body matches creamy textures.
Madeira,Fortified,cheese platter,Cheese,Francesa,5,Excel·lent,Idealized perfect pairing example for contrast.
Madeira,Fortified,cheesecake,Postres,Mexicana,4,Bo,Avaluació heurística del maridatge.
Malbec,Red,salsitxa fumada,Barbacoa fumada,Moroccan,3,Neutral,Avaluació heurística del maridatge.
Grenache,Red,bacon burger,Pork,Korean,5,Excel·lent,Idealized perfect pairing example for contrast.
Albariño,White,stir-fried tofu,Vegetarian,Greek,3,Neutral,Avaluació heurística del maridatge.
Torrontés,White,Indian vindaloo,Spicy,Argentinian,3,Neutral,Avaluació heurística del maridatge.
Chardonnay,White,ànec a la taronja,Aviram,Greek,3,Neutral,Avaluació heurística del maridatge.
Malbec,Red,grilled ribeye,Carn vermella,Ethiopian,3,Neutral,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,mac and cheese,Cheese,Chinese (Sichuan),2,Pobre,Avaluació heurística del maridatge.
Tempranillo,Red,fondue,Cheese,Middle Eastern,3,Neutral,Avaluació heurística del maridatge.
Ice Wine,Postres,mixed nuts,Aperitiu salat,Indian,2,Pobre,Avaluació heurística del maridatge.
Sangiovese,Red,ànec a la taronja,Aviram,Francesa,3,Neutral,Light/medium red suits richer poultry/pork.
Madeira,Fortified,mac and cheese,Cheese,Vietnamita,4,Bo,Avaluació heurística del maridatge.
Malbec,Red,bbq ribs,Barbacoa fumada,Japanese,4,Bo,Avaluació heurística del maridatge.
Albariño,White,shrimp scampi,Seafood,Francesa,4,Bo,Crisp acidity suits seafood.
